time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,12,5,0,0
2026-06-11 00:00:00+00:00,16,6,0,0
2026-06-12 00:00:00+00:00,21,8,0,0
2026-06-13 00:00:00+00:00,30,11,0,0
2026-06-14 00:00:00+00:00,14,4,0,0
2026-06-15 00:00:00+00:00,17,6,0,0
2026-06-16 00:00:00+00:00,29,9,0,0
2026-06-17 00:00:00+00:00,14,5,0,0
2026-06-18 00:00:00+00:00,15,6,7,1
2026-06-19 00:00:00+00:00,33,8,0,0
2026-06-20 00:00:00+00:00,46,12,0,0
2026-06-21 00:00:00+00:00,37,8,0,0
2026-06-22 00:00:00+00:00,38,10,0,0
2026-06-23 00:00:00+00:00,46,12,0,0
