time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,1,1,0,0
2026-04-11 00:00:00+00:00,28,11,0,0
2026-04-12 00:00:00+00:00,25,11,0,0
2026-04-13 00:00:00+00:00,30,11,0,0
2026-04-14 00:00:00+00:00,31,8,0,0
2026-04-15 00:00:00+00:00,45,12,0,0
2026-04-16 00:00:00+00:00,13,6,0,0
2026-04-17 00:00:00+00:00,18,7,1,1
2026-04-18 00:00:00+00:00,16,6,0,0
2026-04-19 00:00:00+00:00,24,12,0,0
2026-04-20 00:00:00+00:00,52,22,0,0
2026-04-21 00:00:00+00:00,78,29,0,0
2026-04-22 00:00:00+00:00,85,34,0,0
2026-04-23 00:00:00+00:00,75,22,0,0
